PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
332,1,1,45.5,0,0,28.5,0,0
734,2,1,23.0,0,0,13.0,0,0
383,3,1,32.0,0,0,7.925,0,0
705,3,1,26.0,1,0,7.8542,0,0
814,3,0,6.0,4,2,31.275,0,0
119,1,1,24.0,0,1,247.5208,1,0
537,1,1,45.0,0,0,26.55,0,0
362,2,1,29.0,1,0,27.7208,1,0
30,3,1,28.0,0,0,7.8958,0,0
56,1,1,28.0,0,0,35.5,0,1
866,2,0,42.0,0,0,13.0,0,1
596,3,1,36.0,1,1,24.15,0,0
240,2,1,33.0,0,0,12.275,0,0
722,3,1,17.0,1,0,7.0542,0,0
82,3,1,29.0,0,0,9.5,0,1
260,2,0,50.0,0,1,26.0,0,1
487,1,0,35.0,1,0,90.0,0,1
717,1,0,38.0,0,0,227.525,1,1
801,2,1,34.0,0,0,13.0,0,0
782,1,0,17.0,1,0,57.0,0,1
543,3,0,11.0,4,2,31.275,0,0
327,3,1,61.0,0,0,6.2375,0,0
535,3,0,30.0,0,0,8.6625,0,0
536,2,0,7.0,0,2,26.25,0,1
484,3,0,63.0,0,0,9.5875,0,1
763,3,1,20.0,0,0,7.2292,1,1
534,3,0,28.0,0,2,22.3583,1,1
714,3,1,29.0,0,0,9.4833,0,0
391,1,1,36.0,1,2,120.0,0,1
496,3,1,28.0,0,0,14.4583,1,0
483,3,1,50.0,0,0,8.05,0,0
378,1,1,27.0,0,2,211.5,1,0
366,3,1,30.0,0,0,7.25,0,0
413,1,0,33.0,1,0,90.0,2,1
469,3,1,28.0,0,0,7.725,2,0
410,3,0,28.0,3,1,25.4667,0,0
8,3,1,2.0,3,1,21.075,0,0
581,2,0,25.0,1,1,30.0,0,1
156,1,1,51.0,0,1,61.3792,1,0
881,2,0,25.0,0,1,26.0,0,1
426,3,1,28.0,0,0,7.25,0,0
102,3,1,28.0,0,0,7.8958,0,0
200,2,0,24.0,0,0,13.0,0,0
425,3,1,18.0,1,1,20.2125,0,0
299,1,1,28.0,0,0,30.5,0,1
885,3,1,25.0,0,0,7.05,0,0
248,2,0,24.0,0,2,14.5,0,1
479,3,1,22.0,0,0,7.5208,0,0
306,1,1,0.92,1,2,151.55,0,1
317,2,0,24.0,1,0,26.0,0,1
3,3,0,26.0,0,0,7.925,0,1
406,2,1,34.0,1,0,21.0,0,0
743,1,0,21.0,2,2,262.375,1,1
261,3,1,28.0,0,0,7.75,2,0
368,3,0,28.0,0,0,7.2292,1,1
159,3,1,28.0,0,0,8.6625,0,0
555,3,0,22.0,0,0,7.775,0,1
830,1,0,62.0,0,0,80.0,0,1
678,3,0,18.0,0,0,9.8417,0,1
381,1,0,42.0,0,0,227.525,1,1
627,2,1,57.0,0,0,12.35,2,0
303,3,1,19.0,0,0,0.0,0,0
433,2,0,42.0,1,0,26.0,0,1
523,3,1,28.0,0,0,7.225,1,0
405,3,0,20.0,0,0,8.6625,0,0
844,3,1,34.5,0,0,6.4375,1,0
356,3,1,28.0,0,0,9.5,0,0
465,3,1,28.0,0,0,8.05,0,0
754,3,1,23.0,0,0,7.8958,0,0
213,3,1,22.0,0,0,7.25,0,0
450,1,1,52.0,0,0,30.5,0,1
80,3,0,30.0,0,0,12.475,0,1
149,2,1,36.5,0,2,26.0,0,0
429,3,1,28.0,0,0,7.75,2,0
61,3,1,22.0,0,0,7.2292,1,0
661,1,1,50.0,2,0,133.65,0,1
805,3,1,27.0,0,0,6.975,0,1
589,3,1,22.0,0,0,8.05,0,0
766,1,0,51.0,1,0,77.9583,0,1
266,2,1,36.0,0,0,10.5,0,0
134,2,0,29.0,1,0,26.0,0,1
709,1,0,22.0,0,0,151.55,0,1
545,1,1,50.0,1,0,106.425,1,0
347,2,0,40.0,0,0,13.0,0,1
822,3,1,27.0,0,0,8.6625,0,1
634,1,1,28.0,0,0,0.0,0,0
457,1,1,65.0,0,0,26.55,0,0
501,3,1,17.0,0,0,8.6625,0,0
431,1,1,28.0,0,0,26.55,0,1
446,1,1,4.0,0,2,81.8583,0,1
651,3,1,28.0,0,0,7.8958,0,0
173,3,0,1.0,1,1,11.1333,0,1
451,2,1,36.0,1,2,27.75,0,0
315,2,1,43.0,1,1,26.25,0,0
333,1,1,38.0,0,1,153.4625,0,0
802,2,0,31.0,1,1,26.25,0,1
91,3,1,29.0,0,0,8.05,0,0
835,3,1,18.0,0,0,8.3,0,0
182,2,1,28.0,0,0,15.05,1,0
582,1,0,39.0,1,1,110.8833,1,1
796,2,1,39.0,0,0,13.0,0,0
70,3,1,26.0,2,0,8.6625,0,0
132,3,1,20.0,0,0,7.05,0,0
335,1,0,28.0,1,0,133.65,0,1
598,3,1,49.0,0,0,0.0,0,0
136,2,1,23.0,0,0,15.0458,1,0
165,3,1,1.0,4,1,39.6875,0,0
29,3,0,28.0,0,0,7.8792,2,1
784,3,1,28.0,1,2,23.45,0,0
194,2,1,3.0,1,1,26.0,0,1
870,3,1,4.0,1,1,11.1333,0,1
716,3,1,19.0,0,0,7.65,0,0
526,3,1,40.5,0,0,7.75,2,0
382,3,0,1.0,0,2,15.7417,1,1
141,3,0,28.0,0,2,15.2458,1,0
174,3,1,21.0,0,0,7.925,0,0
7,1,1,54.0,0,0,51.8625,0,0
719,3,1,28.0,0,0,15.5,2,0
686,2,1,25.0,1,2,41.5792,1,0
74,3,1,26.0,1,0,14.4542,1,0
883,3,0,22.0,0,0,10.5167,0,0
329,3,0,31.0,1,1,20.525,0,1
454,1,1,49.0,1,0,89.1042,1,1
146,2,1,19.0,1,1,36.75,0,0
235,2,1,24.0,0,0,10.5,0,0
221,3,1,16.0,0,0,8.05,0,1
371,1,1,25.0,1,0,55.4417,1,1
812,3,1,39.0,0,0,24.15,0,0
133,3,0,47.0,1,0,14.5,0,0
695,1,1,60.0,0,0,26.55,0,0
865,2,1,24.0,0,0,13.0,0,0
186,1,1,28.0,0,0,50.0,0,0
42,2,0,27.0,1,0,21.0,0,0
548,2,1,28.0,0,0,13.8625,1,1
109,3,1,38.0,0,0,7.8958,0,0
604,3,1,44.0,0,0,8.05,0,0
57,2,0,21.0,0,0,10.5,0,1
395,3,0,24.0,0,2,16.7,0,1
707,2,0,45.0,0,0,13.5,0,1
550,2,1,8.0,1,1,36.75,0,1
25,3,0,8.0,3,1,21.075,0,0
352,1,1,28.0,0,0,35.0,0,0
430,3,1,32.0,0,0,8.05,0,1
435,1,1,50.0,1,0,55.9,0,0
52,3,1,21.0,0,0,7.8,0,0
527,2,0,50.0,0,0,10.5,0,1
817,3,0,23.0,0,0,7.925,0,0
570,3,1,32.0,0,0,7.8542,0,1
265,3,0,28.0,0,0,7.75,2,0
437,3,0,21.0,2,2,34.375,0,0
614,3,1,28.0,0,0,7.75,2,0
694,3,1,25.0,0,0,7.225,1,0
353,3,1,15.0,1,1,7.2292,1,0
19,3,0,31.0,1,0,18.0,0,0
667,2,1,25.0,0,0,13.0,0,0
583,2,1,54.0,0,0,26.0,0,0
84,1,1,28.0,0,0,47.1,0,0
62,1,0,38.0,0,0,80.0,0,1
273,2,0,41.0,0,1,19.5,0,1
286,3,1,33.0,0,0,8.6625,1,0
696,2,1,52.0,0,0,13.5,0,0
747,3,1,16.0,1,1,20.25,0,0
13,3,1,20.0,0,0,8.05,0,0
183,3,1,9.0,4,2,31.3875,0,0
445,3,1,28.0,0,0,8.1125,0,1
553,3,1,28.0,0,0,7.8292,2,0
224,3,1,28.0,0,0,7.8958,0,0
514,1,0,54.0,1,0,59.4,1,1
629,3,1,26.0,0,0,7.8958,0,0
588,1,1,60.0,1,1,79.2,1,1
693,3,1,28.0,0,0,56.4958,0,1
524,1,0,44.0,0,1,57.9792,1,1
665,3,1,20.0,1,0,7.925,0,1
177,3,1,28.0,3,1,25.4667,0,0
842,2,1,16.0,0,0,10.5,0,0
679,3,0,43.0,1,6,46.9,0,0
164,3,1,17.0,0,0,8.6625,0,0
249,1,1,37.0,1,1,52.5542,0,1
571,2,1,62.0,0,0,10.5,0,1
788,3,1,8.0,4,1,29.125,2,0
75,3,1,32.0,0,0,56.4958,0,1
114,3,0,20.0,1,0,9.825,0,0
636,2,0,28.0,0,0,13.0,0,1
502,3,0,21.0,0,0,7.75,2,0
105,3,1,37.0,2,0,7.925,0,0
115,3,0,17.0,0,0,14.4583,1,0
369,3,0,28.0,0,0,7.75,2,1
93,1,1,46.0,1,0,61.175,0,0
498,3,1,28.0,0,0,15.1,0,0
90,3,1,24.0,0,0,8.05,0,0
337,1,1,29.0,1,0,66.6,0,0
880,1,0,56.0,0,1,83.1583,1,1
818,2,1,31.0,1,1,37.0042,1,0
829,3,1,28.0,0,0,7.75,2,1
544,2,1,32.0,1,0,26.0,0,1
549,3,1,33.0,1,1,20.525,0,0
95,3,1,59.0,0,0,7.25,0,0
12,1,0,58.0,0,0,26.55,0,1
432,3,0,28.0,1,0,16.1,0,1
44,2,0,3.0,1,2,41.5792,1,1
43,3,1,28.0,0,0,7.8958,1,0
330,1,0,16.0,0,1,57.9792,1,1
168,3,0,45.0,1,4,27.9,0,0
780,1,0,43.0,0,1,211.3375,0,1
538,1,0,30.0,0,0,106.425,1,1
736,3,1,28.5,0,0,16.1,0,0
500,3,1,24.0,0,0,7.7958,0,0
179,2,1,30.0,0,0,13.0,0,0
584,1,1,36.0,0,0,40.125,1,0
785,3,1,25.0,0,0,7.05,0,0
594,3,0,28.0,0,2,7.75,2,0
178,1,0,50.0,0,0,28.7125,1,0
645,3,0,0.75,2,1,19.2583,1,1
711,1,0,24.0,0,0,49.5042,1,1
616,2,0,24.0,1,2,65.0,0,1
384,1,0,35.0,1,0,52.0,0,1
258,1,0,30.0,0,0,86.5,0,1
735,2,1,23.0,0,0,13.0,0,0
336,3,1,28.0,0,0,7.8958,0,0
552,2,1,27.0,0,0,26.0,0,0
16,2,0,55.0,0,0,16.0,0,1
4,1,0,35.0,1,0,53.1,0,1
412,3,1,28.0,0,0,6.8583,2,0
257,1,0,28.0,0,0,79.2,1,1
452,3,1,28.0,1,0,19.9667,0,0
474,2,0,23.0,0,0,13.7917,1,1
698,3,0,28.0,0,0,7.7333,2,1
394,1,0,23.0,1,0,113.275,1,1
223,3,1,51.0,0,0,8.05,0,0
507,2,0,33.0,0,2,26.0,0,1
568,3,0,29.0,0,4,21.075,0,0
421,3,1,28.0,0,0,7.8958,1,0
325,3,1,28.0,8,2,69.55,0,0
531,2,0,2.0,1,1,26.0,0,1
10,2,0,14.0,1,0,30.0708,1,1
250,2,1,54.0,1,0,26.0,0,0
23,3,0,15.0,0,0,8.0292,2,1
357,1,0,22.0,0,1,55.0,0,1
222,2,1,27.0,0,0,13.0,0,0
602,3,1,28.0,0,0,7.8958,0,0
767,1,1,28.0,0,0,39.6,1,0
875,2,0,28.0,1,0,24.0,1,1
529,3,1,39.0,0,0,7.925,0,0
341,2,1,2.0,1,1,26.0,0,1
744,3,1,24.0,1,0,16.1,0,0
520,3,1,32.0,0,0,7.8958,0,0
204,3,1,45.5,0,0,7.225,1,0
238,2,0,8.0,0,2,26.25,0,1
94,3,1,26.0,1,2,20.575,0,0
731,1,0,29.0,0,0,211.3375,0,1
441,2,0,45.0,1,1,26.25,0,1
560,3,0,36.0,1,0,17.4,0,1
285,1,1,28.0,0,0,26.0,0,0
185,3,0,4.0,0,2,22.025,0,1
792,2,1,16.0,0,0,26.0,0,0
488,1,1,58.0,0,0,29.7,1,0
154,3,1,40.5,0,2,14.5,0,0
76,3,1,25.0,0,0,7.65,0,0
657,3,1,28.0,0,0,7.8958,0,0
632,3,1,51.0,0,0,7.0542,0,0
278,2,1,28.0,0,0,0.0,0,0
69,3,0,17.0,4,2,7.925,0,1
826,3,1,28.0,0,0,6.95,2,0
189,3,1,40.0,1,1,15.5,2,0
272,3,1,25.0,0,0,0.0,0,1
663,1,1,47.0,0,0,25.5875,0,0
712,1,1,28.0,0,0,26.55,0,0
237,2,1,44.0,1,0,26.0,0,0
89,1,0,23.0,3,2,263.0,0,1
758,2,1,18.0,0,0,11.5,0,0
118,2,1,29.0,1,0,21.0,0,0
126,3,1,12.0,1,0,11.2417,1,1
732,3,1,11.0,0,0,18.7875,1,0
290,3,0,22.0,0,0,7.75,2,1
239,2,1,19.0,0,0,10.5,0,0
1,3,1,22.0,1,0,7.25,0,0
882,3,1,33.0,0,0,7.8958,0,0
468,1,1,56.0,0,0,26.55,0,0
828,2,1,1.0,0,2,37.0042,1,1
396,3,1,22.0,0,0,7.7958,0,0
532,3,1,28.0,0,0,7.2292,1,0
127,3,1,28.0,0,0,7.75,2,0
279,3,1,7.0,4,1,29.125,2,0
692,3,0,4.0,0,1,13.4167,1,1
117,3,1,70.5,0,0,7.75,2,0
229,2,1,18.0,0,0,13.0,0,0
623,3,1,20.0,1,1,15.7417,1,1
656,2,1,24.0,2,0,73.5,0,0
599,3,1,28.0,0,0,7.225,1,0
517,2,0,34.0,0,0,10.5,0,1
275,3,0,28.0,0,0,7.75,2,1
319,1,0,31.0,0,2,164.8667,0,1
607,3,1,30.0,0,0,7.8958,0,0
145,2,1,18.0,0,0,11.5,0,0
635,3,0,9.0,3,2,27.9,0,0
559,1,0,39.0,1,1,79.65,0,1
810,1,0,33.0,1,0,53.1,0,1
746,1,1,70.0,1,1,71.0,0,0
370,1,0,24.0,0,0,69.3,1,1
269,1,0,58.0,0,1,153.4625,0,1
624,3,1,21.0,0,0,7.8542,0,0
308,1,0,17.0,1,0,108.9,1,1
424,3,0,28.0,1,1,14.4,0,0
311,1,0,24.0,0,0,83.1583,1,1
355,3,1,28.0,0,0,7.225,1,0
47,3,1,28.0,1,0,15.5,2,0
350,3,1,42.0,0,0,8.6625,0,0
372,3,1,18.0,1,0,6.4958,0,0
480,3,0,2.0,0,1,12.2875,0,1
577,2,0,34.0,0,0,13.0,0,1
262,3,1,3.0,4,2,31.3875,0,1
196,1,0,58.0,0,0,146.5208,1,1
891,3,1,32.0,0,0,7.75,2,0
745,3,1,31.0,0,0,7.925,0,1
108,3,1,28.0,0,0,7.775,0,1
867,2,0,27.0,1,0,13.8583,1,1
60,3,1,11.0,5,2,46.9,0,0
659,2,1,23.0,0,0,13.0,0,0
264,1,1,40.0,0,0,0.0,0,0
569,3,1,28.0,0,0,7.2292,1,0
101,3,0,28.0,0,0,7.8958,0,0
444,2,0,28.0,0,0,13.0,0,1
491,3,1,28.0,1,0,19.9667,0,0
688,3,1,19.0,0,0,10.1708,0,0
800,3,0,30.0,1,1,24.15,0,0
641,3,1,20.0,0,0,7.8542,0,0
170,3,1,28.0,0,0,56.4958,0,0
180,3,1,36.0,0,0,0.0,0,0
305,3,1,28.0,0,0,8.05,0,0
342,1,0,24.0,3,2,263.0,0,1
58,3,1,28.5,0,0,7.2292,1,0
859,3,0,24.0,0,3,19.2583,1,1
150,2,1,42.0,0,0,13.0,0,0
125,1,1,54.0,0,1,77.2875,0,0
704,3,1,25.0,0,0,7.7417,2,0
51,3,1,7.0,4,1,39.6875,0,0
354,3,1,25.0,1,0,17.8,0,0
824,3,0,27.0,0,1,12.475,0,1
143,3,0,24.0,1,0,15.85,0,1
471,3,1,28.0,0,0,7.25,0,0
400,2,0,28.0,0,0,12.65,0,1
576,3,1,19.0,0,0,14.5,0,0
321,3,1,22.0,0,0,7.25,0,0
20,3,0,28.0,0,0,7.225,1,1
793,3,0,28.0,8,2,69.55,0,0
708,1,1,42.0,0,0,26.2875,0,1
724,2,1,50.0,0,0,13.0,0,0
408,2,1,3.0,1,1,18.75,0,1
558,1,1,28.0,0,0,227.525,1,0
39,3,0,18.0,2,0,18.0,0,0
176,3,1,18.0,1,1,7.8542,0,0
246,1,1,44.0,2,0,90.0,2,0
741,1,1,28.0,0,0,30.0,0,1
603,1,1,28.0,0,0,42.4,0,0
